Year,Stage,Home_Team,Away_Team,Attendance,Total_Goals,Match_Result,Win_Conditions,Venue_City,Host_Nation,Player_Team,Lineup,Goals_Scored,Yellow_Cards,Red_Cards
1930,Group Stage,France,Mexico,4444,5,Home Win,Normal,Montevideo,Uruguay,FRA,Starter,0,0,0
1930,Group Stage,France,Mexico,4444,5,Home Win,Normal,Montevideo,Uruguay,MEX,Starter,0,0,0
1930,Group Stage,France,Mexico,4444,5,Home Win,Normal,Montevideo,Uruguay,FRA,Starter,1,0,0
1930,Group Stage,France,Mexico,4444,5,Home Win,Normal,Montevideo,Uruguay,MEX,Starter,1,0,0
1930,Group Stage,France,Mexico,4444,5,Home Win,Normal,Montevideo,Uruguay,FRA,Starter,2,0,0
1930,Group Stage,France,Mexico,4444,5,Home Win,Normal,Montevideo,Uruguay,FRA,Substitute,0,0,0
1930,Group Stage,France,Mexico,4444,5,Home Win,Normal,Montevideo,Uruguay,MEX,Substitute,0,0,0
1930,Group Stage,USA,Belgium,18346,3,Home Win,Normal,Montevideo,Uruguay,USA,Starter,0,0,0
1930,Group Stage,USA,Belgium,18346,3,Home Win,Normal,Montevideo,Uruguay,BEL,Starter,0,0,0
1930,Group Stage,USA,Belgium,18346,3,Home Win,Normal,Montevideo,Uruguay,USA,Starter,1,0,0
1930,Group Stage,USA,Belgium,18346,3,Home Win,Normal,Montevideo,Uruguay,USA,Substitute,0,0,0
1930,Group Stage,USA,Belgium,18346,3,Home Win,Normal,Montevideo,Uruguay,BEL,Substitute,0,0,0
1930,Group Stage,Yugoslavia,Brazil,24059,3,Home Win,Normal,Montevideo,Uruguay,YUG,Starter,0,0,0
1930,Group Stage,Yugoslavia,Brazil,24059,3,Home Win,Normal,Montevideo,Uruguay,BRA,Starter,0,0,0
1930,Group Stage,Yugoslavia,Brazil,24059,3,Home Win,Normal,Montevideo,Uruguay,YUG,Starter,1,0,0
1930,Group Stage,Yugoslavia,Brazil,24059,3,Home Win,Normal,Montevideo,Uruguay,BRA,Starter,1,0,0
1930,Group Stage,Yugoslavia,Brazil,24059,3,Home Win,Normal,Montevideo,Uruguay,YUG,Substitute,0,0,0
1930,Group Stage,Yugoslavia,Brazil,24059,3,Home Win,Normal,Montevideo,Uruguay,BRA,Substitute,0,0,0
1930,Group Stage,Romania,Peru,2549,4,Home Win,Normal,Montevideo,Uruguay,ROU,Starter,0,0,0
1930,Group Stage,Romania,Peru,2549,4,Home Win,Normal,Montevideo,Uruguay,PER,Starter,0,0,0
1930,Group Stage,Romania,Peru,2549,4,Home Win,Normal,Montevideo,Uruguay,ROU,Starter,1,0,0
1930,Group Stage,Romania,Peru,2549,4,Home Win,Normal,Montevideo,Uruguay,PER,Starter,0,0,1
1930,Group Stage,Romania,Peru,2549,4,Home Win,Normal,Montevideo,Uruguay,PER,Starter,1,0,0
1930,Group Stage,Romania,Peru,2549,4,Home Win,Normal,Montevideo,Uruguay,ROU,Substitute,0,0,0
1930,Group Stage,Romania,Peru,2549,4,Home Win,Normal,Montevideo,Uruguay,PER,Substitute,0,0,0
1930,Group Stage,Argentina,France,23409,1,Home Win,Normal,Montevideo,Uruguay,ARG,Starter,0,0,0
1930,Group Stage,Argentina,France,23409,1,Home Win,Normal,Montevideo,Uruguay,FRA,Starter,0,0,0
1930,Group Stage,Argentina,France,23409,1,Home Win,Normal,Montevideo,Uruguay,ARG,Starter,1,0,0
1930,Group Stage,Argentina,France,23409,1,Home Win,Normal,Montevideo,Uruguay,ARG,Substitute,0,0,0
1930,Group Stage,Argentina,France,23409,1,Home Win,Normal,Montevideo,Uruguay,FRA,Substitute,0,0,0
1930,Group Stage,Chile,Mexico,9249,3,Home Win,Normal,Montevideo,Uruguay,CHI,Starter,0,0,0
1930,Group Stage,Chile,Mexico,9249,3,Home Win,Normal,Montevideo,Uruguay,MEX,Starter,0,0,0
1930,Group Stage,Chile,Mexico,9249,3,Home Win,Normal,Montevideo,Uruguay,CHI,Starter,2,0,0
1930,Group Stage,Chile,Mexico,9249,3,Home Win,Normal,Montevideo,Uruguay,CHI,Substitute,0,0,0
