Year,Avg_Goals_Per_Match,Total_Goals,Matches,Avg_Attendance
1930.0,3.89,70.0,18,32808.28
1934.0,4.12,70.0,17,21352.94
1938.0,4.67,84.0,18,20872.22
1950.0,4.0,88.0,22,47511.18
1954.0,5.38,140.0,26,29561.81
1958.0,3.6,126.0,35,23423.14
1962.0,2.78,89.0,32,27911.62
1966.0,2.78,89.0,32,48847.97
1970.0,2.97,95.0,32,50124.22
1974.0,2.55,97.0,38,49098.76
1978.0,2.68,102.0,38,40678.71
1982.0,2.81,146.0,52,40571.6
1986.0,2.54,132.0,52,46039.06
1990.0,2.21,115.0,52,48388.75
1994.0,2.71,141.0,52,68991.12
1998.0,2.67,171.0,64,43517.19
2002.0,2.52,161.0,64,42268.7
2006.0,2.3,147.0,64,52491.23
2010.0,2.27,145.0,64,49669.62
2014.0,2.67,171.0,64,53806.41
