Year,Home_Win_Rate,Avg_Home_Goals,Avg_Away_Goals,Home_Advantage_Index
1930.0,100.0,3.28,0.61,2.67
1934.0,94.12,2.82,1.29,1.53
1938.0,83.33,3.39,1.28,2.11
1950.0,86.36,3.14,0.86,2.27
1954.0,92.31,4.19,1.19,3.0
1958.0,68.57,2.51,1.09,1.43
1962.0,84.38,2.16,0.62,1.53
1966.0,84.38,2.16,0.62,1.53
1970.0,84.38,2.25,0.72,1.53
1974.0,39.47,1.34,1.21,0.13
1978.0,76.32,2.08,0.61,1.47
1982.0,50.0,1.87,0.94,0.92
1986.0,40.38,1.42,1.12,0.31
1990.0,51.92,1.29,0.92,0.37
1994.0,50.0,1.6,1.12,0.48
1998.0,43.75,1.53,1.14,0.39
2002.0,42.19,1.39,1.12,0.27
2006.0,50.0,1.34,0.95,0.39
2010.0,35.94,1.19,1.08,0.11
2014.0,43.75,1.27,1.41,-0.14
