Player_Name,Team_Initials,Matches_Played,Goals_Scored,Yellow_Cards,Red_Cards,Goals_Per_Match
?URI?I?,SRB,3,0,0,0,0.0
A BAUTISTA,MEX,4,0,0,0,0.0
A COLE,ENG,14,0,1,0,0.0
A GUARDADO,MEX,4,0,0,0,0.0
A MEDINA,MEX,4,0,0,0,0.0
A. AL-DOSSARY,KSA,3,0,0,0,0.0
A. AL-GANOUBI,KSA,3,0,0,0,0.0
A. ALMEIDA,POR,3,0,0,0,0.0
A. AYEW,GHA,8,2,2,0,0.25
A. BAK,POL,3,0,1,0,0.0
A. BALANTA,COL,5,0,0,0,0.0
A. CHOL HYOK,PRK,3,0,0,0,0.0
A. CRUZ,BRA,7,0,0,0,0.0
A. DAEI,IRN,3,0,1,0,0.0
A. DELGADO,ECU,4,2,0,0,0.5
A. DIARRA,FRA,3,0,0,0,0.0
A. FERNANDEZ,ARG,7,0,0,0,0.0
A. FERNANDEZ,URU,7,0,0,0,0.0
A. GARCIA ASPE,MEX,4,0,1,0,0.0
A. GONZALEZ,URU,4,0,0,0,0.0
A. GUARDADO,MEX,8,1,2,0,0.125
A. GYAN,GHA,8,3,0,0,0.375
A. HAGHIGHI,IRN,3,0,0,0,0.0
A. HERNANDEZ,URU,4,0,0,0,0.0
A. INIESTA,ESP,7,0,0,0,0.0
A. JOHN,TRI,3,0,3,1,0.0
A. KELLY,IRL,4,0,0,0,0.0
A. LATIFI,IRN,3,0,0,0,0.0
A. LOPEZ,ESP,4,0,0,0,0.0
A. M. NDIAYE,SEN,5,0,0,0,0.0
A. MADANI,KSA,7,0,1,0,0.0
A. MEJIA,COL,5,0,0,0,0.0
A. MOKOENA,RSA,3,0,2,0,0.0
A. NAELSON,MEX,4,1,1,0,0.25
A. PEREIRA,URU,4,0,0,0,0.0
A. PULIDO,MEX,4,0,0,0,0.0
A. R. ABEDZADEH,IRN,3,0,0,0,0.0
A. R. MANSOURIAN,IRN,3,0,0,0,0.0
A. RODRIGUEZ,MEX,4,0,0,0,0.0
A. ROJAS,PAR,4,0,1,0,0.0
A. SONG,CMR,3,0,0,0,0.0
A. SVENSSON,SWE,4,0,0,0,0.0
A. TALAVERA,MEX,4,0,0,0,0.0
A. TOURE,TOG,3,0,0,0,0.0
A. VALENCIA,ECU,7,0,3,1,0.0
A. YONG HAK,PRK,3,0,0,0,0.0
A. ZUBROMAWI,KSA,4,0,0,0,0.0
A.A. OSTAD ASADI,IRN,3,0,0,0,0.0
A.BORHANI,IRN,3,0,0,0,0.0
A.DAEI,IRN,3,0,0,0,0.0
A.INIESTA,ESP,7,2,1,0,0.286
A.KARIMI,IRN,3,0,0,0,0.0
A.LEMBO,URU,3,0,0,0,0.0
A.PEREIRA,URU,7,1,0,0,0.143
A.RECOBA,URU,3,0,0,0,0.0
A.SADEGHI,IRN,3,0,0,0,0.0
ABALO,TOG,3,0,3,1,0.0
ABANDA,CMR,3,0,0,0,0.0
ABATE,ITA,3,0,0,0,0.0
ABBIATI,ITA,4,0,0,0,0.0
ABBONDANZIERI,ARG,5,0,0,0,0.0
ABDOUN,ALG,3,0,0,0,0.0
ABDUL RAHIM,IRQ,3,0,0,0,0.0
ABDULAZIZ MOHAMED,UAE,3,0,0,0,0.0
ABDULLAH,TUR,7,0,0,0,0.0
ABDULLAH MUSA,UAE,3,0,0,0,0.0
ABE,JPN,4,0,1,0,0.0
ABEL,BRA,7,0,0,0,0.0
ABEL XAVIER,POR,3,0,0,0,0.0
ABELARDO,ESP,8,0,2,0,0.0
ABIDAL,FRA,10,0,3,0,0.0
ABOU TARIKA,ANG,1,1,0,0,1.0
ABOUBAKAR,CMR,6,0,0,0,0.0
ACACIO,BRA,4,0,0,0,0.0
ACEVAL,PAR,4,0,0,0,0.0
ACHILIER,ECU,3,0,0,0,0.0
ACIMOVIC,SVN,3,1,0,0,0.333
ACOSTA J.,CRC,5,0,2,0,0.0
ACQUAH,GHA,3,0,0,0,0.0
ACUNA,PAR,8,0,1,1,0.0
ACU�A,CHI,4,0,1,0,0.0
ACU�A,PAR,3,0,1,0,0.0
ADAOZINHO,BRA,6,0,0,0,0.0
ADDY,GHA,5,0,1,0,0.0
ADEBAYOR,TOG,3,0,1,0,0.0
ADELARDO,ESP,6,1,0,0,0.167
ADELEYE,NGA,3,0,0,0,0.0
ADEMIR,BRA,6,8,0,0,1.333
ADEMIR DA GUIA,BRA,7,0,0,0,0.0
ADEPOJU,NGA,7,0,1,0,0.0
ADIYIAH,GHA,5,0,0,0,0.0
ADJEI,GHA,4,0,0,0,0.0
ADNAN AL TALYANI,UAE,3,0,0,0,0.0
ADO,BRA,6,0,0,0,0.0
ADOMAH,GHA,3,0,0,0,0.0
ADRIANO,BRA,5,2,1,0,0.4
AFELLAY,NED,7,0,0,0,0.0
AFOLABI,NGA,6,0,0,0,0.0
AFONSINHO,BRA,5,0,0,0,0.0
AGASSA,TOG,3,0,0,0,0.0
AGBIM,NGA,4,0,0,0,0.0
AGBOH,TOG,3,0,0,0,0.0
AGGER,DEN,3,0,0,0,0.0
AGHAHOWA,NGA,3,1,0,0,0.333
AGOOS,USA,5,0,1,0,0.0
AGUERO,ARG,7,0,2,0,0.0
